signal-001,signal-002,signal-003,signal-004,signal-046,signal-047,signal-077,signal-081,signal-106,signal-107
0.532820816,0.683315038,0.409354839,0.511545712,0.875591296,0.621620541,0.951232174,0.499900774,0.733333333,0.578125
0.532820816,0.675356751,0.418709677,0.511545712,0.876064333,0.622269189,0.953033866,0.499900774,0.733333333,0.578125
0.541395624,0.678100988,0.421935484,0.511545712,0.87653737,0.622917838,0.948544905,0.499900774,0.733333333,0.578125
0.538438794,0.680845225,0.421935484,0.513901979,0.877010407,0.623567568,0.951232174,0.499900774,0.733333333,0.578125
0.532820816,0.675356751,0.415806452,0.513901979,0.876694418,0.624216216,0.952575808,0.499900774,0.733333333,0.578125
0.541395624,0.678100988,0.412580645,0.513901979,0.876379376,0.624864865,0.950346597,0.499900774,0.733333333,0.578125
0.541395624,0.680845225,0.421935484,0.513901979,0.876063387,0.623782703,0.950346597,0.499900774,0.733333333,0.578125
0.535777587,0.6701427,0.421935484,0.506833176,0.877010407,0.625945946,0.952575808,0.499900774,0.733333333,0.578125
0.541395624,0.678100988,0.418870968,0.51602262,0.875591296,0.623243243,0.952575808,0.499900774,0.733333333,0.578125
0.541395624,0.678100988,0.415806452,0.509189444,0.874172185,0.620540541,0.950346597,0.499900774,0.733333333,0.578125
0.535777587,0.680845225,0.415806452,0.511545712,0.874487228,0.621081081,0.952148288,0.499900774,0.733333333,0.578125
0.538586635,0.680845225,0.418709677,0.513901979,0.874802271,0.621620541,0.949002962,0.499900774,0.733333333,0.578125
0.541395624,0.688803513,0.428064516,0.509189444,0.875118259,0.623782703,0.951690231,0.499900774,0.733333333,0.578125
0.538438794,0.675356751,0.421935484,0.511545712,0.874172185,0.624052973,0.950346597,0.499900774,0.733333333,0.578125
0.532820816,0.675356751,0.421935484,0.511545712,0.874487228,0.624324324,0.950789385,0.499900774,0.733333333,0.578125
0.541395624,0.675356751,0.421935484,0.506833176,0.874802271,0.624594595,0.951232174,0.499900774,0.733333333,0.578125
0.541395624,0.678100988,0.415806452,0.513901979,0.875118259,0.624864865,0.953033866,0.499900774,0.733333333,0.578125
0.541395624,0.683315038,0.415806452,0.520499529,0.873226112,0.622702703,0.949002962,0.499900774,0.733333333,0.578125
0.541395624,0.678100988,0.412580645,0.511545712,0.873226112,0.624864865,0.951232174,0.499900774,0.733333333,0.578125
