signal-009,signal-010,signal-011,signal-012,signal-050,signal-063,signal-117,signal-118,signal-119
0.695457095,0.417994607,0.824396783,0.456123662,0.550847458,0.437971953,0.842105263,0.844827586,0.857142857
0.722938867,0.420446188,0.811662198,0.449464875,0.550075501,0.437971953,0.842105263,0.844827586,0.857142857
0.722938867,0.417994607,0.804959786,0.442330559,0.549306626,0.437971953,0.842105263,0.844827586,0.857142857
0.70106562,0.415543025,0.818364611,0.44019025,0.54853621,0.437971953,0.842105263,0.844827586,0.857142857
0.706393718,0.415543025,0.818364611,0.44470868,0.548844376,0.440130529,0.842105263,0.844827586,0.857142857
0.711721817,0.415543025,0.804959786,0.442330559,0.549151002,0.43905178,0.842105263,0.844827586,0.857142857
0.711721817,0.415543025,0.804959786,0.442330559,0.549460709,0.439770227,0.842105263,0.844827586,0.857142857
0.711721817,0.413336602,0.804959786,0.44470868,0.549767334,0.440489752,0.842105263,0.844827586,0.857142857
0.706113292,0.413336602,0.818364611,0.44019025,0.550075501,0.441209277,0.842105263,0.844827586,0.857142857
0.706113292,0.417994607,0.818364611,0.447086801,0.553158706,0.443365696,0.842105263,0.844827586,0.857142857
0.706113292,0.415543025,0.824396783,0.442330559,0.550075501,0.442288026,0.842105263,0.844827586,0.857142857
0.722938867,0.420446188,0.811662198,0.44470868,0.549306626,0.441209277,0.842105263,0.844827586,0.839285714
0.722938867,0.415543025,0.804959786,0.442330559,0.54853621,0.440130529,0.842105263,0.844827586,0.857142857
0.70106562,0.417994607,0.824396783,0.44470868,0.547764253,0.439591154,0.842105263,0.844827586,0.839285714
0.706113292,0.417994607,0.837801609,0.44470868,0.546993837,0.43905178,0.842105263,0.844827586,0.839285714
0.695457095,0.413336602,0.818364611,0.442330559,0.550075501,0.441209277,0.842105263,0.844827586,0.839285714
0.706113292,0.425104192,0.824396783,0.447086801,0.543913713,0.437971953,0.842105263,0.844827586,0.839285714
0.711721817,0.422897769,0.804959786,0.449464875,0.54853621,0.440130529,0.842105263,0.844827586,0.839285714
0.711721817,0.417994607,0.804959786,0.449464875,0.545454545,0.437971953,0.842105263,0.844827586,0.839285714
0.711721817,0.415543025,0.824396783,0.44470868,0.54853621,0.43905178,0.842105263,0.844827586,0.839285714
0.711721817,0.417994607,0.811662198,0.453983353,0.539289676,0.432578209,0.842105263,0.844827586,0.839285714
0.722938867,0.415665555,0.818029491,0.447086801,0.550075501,0.43905178,0.842105263,0.844827586,0.839285714
0.706113292,0.413336602,0.824396783,0.449464875,0.553158706,0.438511327,0.842105263,0.844827586,0.839285714
0.722938867,0.420446188,0.818364611,0.44019025,0.553158706,0.437971953,0.842105263,0.844827586,0.839285714
0.711721817,0.420446188,0.824396783,0.447086801,0.546993837,0.432578209,0.842105263,0.844827586,0.839285714
0.711721817,0.413336602,0.804959786,0.44019025,0.549049307,0.433658037,0.842105263,0.844827586,0.839285714
0.722938867,0.420446188,0.804959786,0.447086801,0.551104777,0.434735707,0.842105263,0.844827586,0.839285714
0.711721817,0.420446188,0.804959786,0.44470868,0.553158706,0.435815534,0.842105263,0.844827586,0.839285714
0.711721817,0.413336602,0.804959786,0.44019025,0.54853621,0.432578209,0.842105263,0.844827586,0.857142857
0.711721817,0.420446188,0.811662198,0.447086801,0.54853621,0.435096009,0.842105263,0.844827586,0.839285714
0.711721817,0.415543025,0.804959786,0.44470868,0.54853621,0.437613808,0.842105263,0.844827586,0.839285714
0.711721817,0.417994607,0.811662198,0.44470868,0.553158706,0.440130529,0.842105263,0.844827586,0.839285714
0.711721817,0.425104192,0.804959786,0.447086801,0.553158706,0.439412082,0.842105263,0.844827586,0.839285714
0.711721817,0.420446188,0.818364611,0.44470868,0.54853621,0.438691478,0.842105263,0.844827586,0.857142857
0.70106562,0.413336602,0.818364611,0.44019025,0.546993837,0.437971953,0.842105263,0.844827586,0.839285714
0.717330342,0.410885021,0.804959786,0.44019025,0.547508475,0.43905178,0.842105263,0.844827586,0.839285714
0.722938867,0.415543025,0.818364611,0.437812081,0.548021572,0.440130529,0.842105263,0.844827586,0.857142857
0.695457095,0.422897769,0.818364611,0.456123662,0.54853621,0.43905178,0.842105263,0.844827586,0.857142857
0.706113292,0.413336602,0.804959786,0.442330559,0.551617874,0.439591154,0.842105263,0.844827586,0.839285714
0.711721817,0.415543025,0.804959786,0.442330559,0.549306626,0.440130529,0.842105263,0.844827586,0.857142857
0.717330342,0.415543025,0.804959786,0.442330559,0.546993837,0.436894283,0.842105263,0.844827586,0.839285714
0.711721817,0.420446188,0.804959786,0.44470868,0.551617874,0.43905178,0.842105263,0.844827586,0.839285714
0.722938867,0.420446188,0.818364611,0.44470868,0.553158706,0.441209277,0.842105263,0.844827586,0.839285714
0.70106562,0.413336602,0.811662198,0.44019025,0.546993837,0.437971953,0.842105263,0.844827586,0.839285714
0.711721817,0.417994607,0.804959786,0.442330559,0.549306626,0.439590076,0.842105263,0.844827586,0.839285714
0.706113292,0.413336602,0.811662198,0.447086801,0.551617874,0.441209277,0.842105263,0.844827586,0.839285714
0.711721817,0.415543025,0.818364611,0.44019025,0.545454545,0.437971953,0.842105263,0.844827586,0.857142857
0.711721817,0.413336602,0.798927614,0.437812081,0.546995378,0.441209277,0.842105263,0.844827586,0.839285714
0.722938867,0.417994607,0.818364611,0.44019025,0.54853621,0.441209277,0.842105263,0.844827586,0.839285714
0.712002243,0.415543025,0.804959786,0.44470868,0.548021572,0.440130529,0.842105263,0.844827586,0.839285714
0.70106562,0.417994607,0.804959786,0.442330559,0.547508475,0.43905178,0.842105263,0.844827586,0.839285714
0.695457095,0.417994607,0.811662198,0.44470868,0.546993837,0.440130529,0.842105263,0.844827586,0.839285714
0.711721817,0.417994607,0.811662198,0.442330559,0.550075501,0.441209277,0.842105263,0.844827586,0.857142857
0.70106562,0.417994607,0.792225201,0.44470868,0.549049307,0.442288026,0.842105263,0.844827586,0.857142857
0.706113292,0.413336602,0.818364611,0.44470868,0.548021572,0.441568501,0.842105263,0.844827586,0.857142857
0.722938867,0.415665555,0.804959786,0.44019025,0.546993837,0.440850054,0.842105263,0.844827586,0.839285714
0.711721817,0.417994607,0.818364611,0.442489084,0.54853621,0.440130529,0.842105263,0.844827586,0.857142857
0.711721817,0.417994607,0.818364611,0.444787967,0.547380586,0.439860841,0.842105263,0.844827586,0.857142857
0.711721817,0.417994607,0.818364611,0.447086801,0.546224961,0.439591154,0.842105263,0.844827586,0.857142857
0.695457095,0.420446188,0.818364611,0.447086801,0.545067797,0.439321467,0.842105263,0.844827586,0.839285714
0.706113292,0.420446188,0.818364611,0.447086801,0.543913713,0.43905178,0.842105263,0.844827586,0.839285714
0.695457095,0.410885021,0.804959786,0.442330559,0.54853621,0.440130529,0.842105263,0.844827586,0.857142857
0.717330342,0.417994607,0.818364611,0.449464875,0.547765794,0.441209277,0.842105263,0.844827586,0.857142857
0.711721817,0.422897769,0.824396783,0.449464875,0.546995378,0.441209277,0.842105263,0.844827586,0.857142857
0.722938867,0.422897769,0.811662198,0.442330559,0.546224961,0.441209277,0.842105263,0.844827586,0.857142857
0.706113292,0.417994607,0.804959786,0.44470868,0.545454545,0.441209277,0.842105263,0.844827586,0.839285714
