signal-005,signal-006,signal-007,signal-008,signal-048,signal-049,signal-078,signal-109,signal-120,signal-121
0.066536204,0.477887966,0.249283668,0.251667252,0.630902488,0.626507892,0.127600344,0.867647059,0.833333333,0.823529412
0.094911937,0.475475744,0.333810888,0.258336258,0.631783391,0.6272052,0.132535304,0.867647059,0.833333333,0.823529412
0.094911937,0.506566604,0.305157593,0.246577747,0.632664294,0.627902507,0.131598927,0.867647059,0.833333333,0.823529412
0.151663405,0.633878317,0.319484241,0.24991225,0.633545196,0.628597957,0.127600344,0.867647059,0.833333333,0.823529412
0.142367906,0.651835969,0.333810888,0.251667252,0.634954641,0.629526462,0.120185251,0.867647059,0.833333333,0.823529412
0.123287671,0.524792281,0.305157593,0.251667252,0.634602279,0.630454968,0.127600344,0.867647059,0.833333333,0.823529412
0.142123288,0.612972393,0.305157593,0.251667252,0.634249214,0.630454968,0.130991547,0.867647059,0.833333333,0.823529412
0.160958904,0.672741892,0.333810888,0.251667252,0.634954641,0.630454968,0.131598927,0.867647059,0.833333333,0.823529412
0.104207436,0.516751541,0.333810888,0.255001755,0.632488113,0.630454968,0.126360277,0.867647059,0.833333333,0.823529412
0.075831703,0.506566604,0.305157593,0.246577747,0.630021586,0.630454968,0.12079263,0.867647059,0.833333333,0.823529412
0.113992172,0.589654248,0.333810888,0.255001755,0.633545196,0.630454968,0.127600344,0.867647059,0.833333333,0.823529412
0.104207436,0.579201287,0.305157593,0.248157248,0.632135752,0.630454968,0.133142684,0.867647059,0.833333333,0.823529412
0.085127202,0.501206111,0.333810888,0.24991225,0.633545196,0.630454968,0.13468644,0.867647059,0.833333333,0.823529412
0.104207436,0.498793889,0.305157593,0.258336258,0.632840474,0.630454968,0.127904034,0.867647059,0.833333333,0.823529412
0.075831703,0.501206111,0.305157593,0.251667252,0.634954641,0.630454968,0.119552564,0.867647059,0.833333333,0.823529412
0.094911937,0.493433396,0.277936963,0.246577747,0.633545196,0.630454968,0.126360277,0.867647059,0.833333333,0.823529412
0.075831703,0.501206111,0.277936963,0.261846262,0.634954641,0.630454968,0.129144101,0.867647059,0.833333333,0.823529412
0.094911937,0.522112034,0.277936963,0.251667252,0.634249214,0.630454968,0.130991547,0.867647059,0.833333333,0.823529412
0.118395303,0.625837577,0.346704871,0.26026676,0.635658658,0.630454968,0.129447791,0.867647059,0.833333333,0.823529412
0.094911937,0.548110426,0.263610315,0.255001755,0.634249214,0.629680594,0.1254239,0.867647059,0.833333333,0.823529412
0.085127202,0.496113589,0.290830946,0.251667252,0.639182269,0.628907149,0.12109632,0.867647059,0.833333333,0.823529412
0.104207436,0.503886304,0.290830946,0.24991225,0.63143103,0.628133705,0.128207724,0.867647059,0.833333333,0.823529412
0.085127202,0.511659019,0.346704871,0.256756757,0.630021586,0.62736026,0.13005517,0.867647059,0.833333333,0.823529412
0.099315068,0.579201287,0.277936963,0.241488241,0.627202697,0.626585887,0.133471681,0.867647059,0.833333333,0.823529412
0.085127202,0.548110426,0.305157593,0.256756757,0.630725603,0.625812442,0.124512831,0.867647059,0.833333333,0.823529412
0.104207436,0.503886358,0.277936963,0.24991225,0.630256258,0.625348189,0.118641494,0.867647059,0.833333333,0.823529412
0.104207436,0.568748325,0.277936963,0.256756757,0.629786208,0.624883008,0.128840411,0.867647059,0.833333333,0.823529412
0.13258317,0.501206111,0.318051576,0.256756757,0.629316159,0.625812442,0.129764134,0.867647059,0.833333333,0.823529412
0.113992172,0.496113589,0.318051576,0.248157248,0.632135752,0.624883008,0.130687857,0.867647059,0.833333333,0.823529412
0.104207436,0.496113589,0.361031519,0.258336258,0.634954641,0.626276695,0.1254239,0.867647059,0.833333333,0.823529412
0.113992172,0.496113589,0.333810888,0.253422253,0.634602279,0.627669452,0.118945184,0.867647059,0.833333333,0.823529412
0.108610568,0.610292147,0.333810888,0.248157248,0.634249214,0.628039926,0.126967657,0.867647059,0.833333333,0.823529412
0.127690802,0.529884749,0.305873926,0.244822745,0.63143103,0.628412256,0.132231614,0.867647059,0.833333333,0.823529412
0.156555773,0.625837577,0.277936963,0.248157248,0.634954641,0.62878273,0.134079061,0.867647059,0.833333333,0.823529412
0.085127202,0.509246797,0.361031519,0.248157248,0.635658658,0.62915506,0.126663967,0.867647059,0.833333333,0.823529412
0.104207436,0.503886358,0.333810888,0.243243243,0.634249214,0.629526462,0.118945184,0.867647059,0.833333333,0.823529412
0.104207436,0.524792281,0.361031519,0.255001755,0.634954641,0.629526462,0.123576454,0.867647059,0.833333333,0.823529412
0.123287671,0.654516215,0.361031519,0.253422253,0.635658658,0.629526462,0.128207724,0.867647059,0.833333333,0.823529412
0.094911937,0.537657464,0.277936963,0.256756757,0.633897557,0.629526462,0.130384168,0.867647059,0.833333333,0.823529412
0.085127202,0.59206647,0.305157593,0.246577747,0.632135752,0.629526462,0.130687857,0.867647059,0.833333333,0.823529412
0.104207436,0.496113589,0.277936963,0.244822745,0.636364085,0.629526462,0.123272764,0.867647059,0.833333333,0.823529412
0.123287671,0.488340927,0.305157593,0.248157248,0.634602279,0.629526462,0.119248874,0.867647059,0.833333333,0.823529412
