signal-022,signal-023,signal-024,signal-025,signal-038,signal-039,signal-057,signal-064,signal-074,signal-085,signal-088,signal-093,signal-096
0.418946388,0.467226891,0.558763339,0.607105606,0.946629654,0.949387389,0.309760221,0.527956611,0.997207435,0.946893473,0.886792453,0.882352941,0.638888889
0.418565258,0.464505802,0.548165473,0.603911343,0.946629654,0.94867117,0.309024309,0.529749441,0.995374815,0.945698654,0.886792453,0.882352941,0.638888889
0.41606674,0.459103641,0.555912878,0.598826597,0.946257734,0.94875075,0.308287293,0.529032596,0.996072956,0.946893473,0.886792453,0.882352941,0.638888889
0.418946388,0.458303321,0.558763339,0.590677966,0.946536488,0.949466969,0.309392265,0.52831575,0.994589406,0.946484719,0.886792453,0.882352941,0.638888889
0.418565258,0.464105642,0.557374653,0.595045632,0.946536488,0.948989331,0.30718232,0.532616106,0.996334759,0.946893473,0.886792453,0.862745098,0.638888889
0.41568561,0.461784714,0.559494226,0.598239896,0.946350714,0.94914849,0.309392265,0.530466286,0.99554935,0.946484719,0.886792453,0.882352941,0.638888889
0.416490218,0.467987195,0.551673732,0.600130378,0.946164754,0.948352851,0.308839779,0.531183132,0.995113012,0.945698654,0.886792453,0.882352941,0.638888889
0.416490218,0.457142857,0.551673732,0.586245111,0.946722634,0.949546389,0.308287293,0.534049796,0.995462082,0.946484719,0.886792453,0.882352941,0.638888889
0.412763615,0.459863946,0.55525508,0.599478488,0.946164754,0.947954793,0.307733702,0.532616106,0.996247491,0.94771098,0.886792453,0.882352941,0.638888889
0.416490218,0.46102441,0.552404619,0.595045632,0.946257734,0.94890991,0.30718232,0.534049796,0.996683829,0.946893473,0.886792453,0.882352941,0.638888889
0.415262133,0.46102441,0.556643766,0.606453716,0.945699853,0.948512011,0.310497238,0.531540838,0.995200279,0.947302226,0.886792453,0.862745098,0.638888889
0.414034048,0.455982393,0.559494226,0.603324641,0.945420913,0.948114112,0.310497238,0.529031879,0.996683829,0.946893473,0.886792453,0.882352941,0.638888889
0.41814178,0.459863946,0.563733372,0.613428944,0.946443508,0.948432272,0.310497238,0.530466286,0.996422026,0.946893473,0.886792453,0.882352941,0.638888889
0.416087914,0.455982393,0.55810554,0.600130378,0.945606873,0.948432272,0.310497238,0.529749441,0.996160223,0.946075965,0.886792453,0.882352941,0.638888889
0.414034048,0.461784714,0.55525508,0.607105606,0.945792648,0.948114112,0.30718232,0.532616106,0.996072956,0.946075965,0.886792453,0.882352941,0.638888889
0.41606674,0.45290116,0.558799883,0.600782269,0.946164754,0.94883033,0.307733702,0.535484204,0.996334759,0.946893473,0.886792453,0.882352941,0.638888889
0.418565258,0.459463786,0.562344686,0.611473272,0.945327933,0.947954793,0.308287293,0.532616106,0.995636618,0.946484719,0.886792453,0.882352941,0.638888889
0.419327518,0.46062425,0.556643766,0.600130378,0.945374423,0.947875213,0.308839779,0.532616106,0.995942054,0.945698654,0.886792453,0.882352941,0.638888889
0.418565258,0.457903161,0.562344686,0.603911343,0.945420913,0.947795792,0.309392265,0.529749441,0.996247491,0.946484719,0.886792453,0.882352941,0.652777778
0.414838655,0.455982393,0.561613799,0.593220339,0.945048807,0.947875213,0.309944751,0.528674173,0.995985688,0.945698654,0.886792453,0.882352941,0.638888889
0.416490218,0.455222089,0.558763339,0.595697523,0.944956013,0.947238734,0.310497238,0.527598188,0.996072956,0.946484719,0.886792453,0.882352941,0.652777778
0.411577878,0.458703481,0.562344686,0.604563233,0.945327933,0.948432272,0.31160221,0.524731523,0.995287547,0.94406364,0.886792453,0.882352941,0.652777778
0.417718303,0.454821929,0.562344686,0.600130378,0.945141787,0.948034532,0.312707182,0.523297833,0.995811153,0.944881147,0.886792453,0.882352941,0.652777778
0.414457525,0.459103641,0.565852945,0.602672751,0.947187348,0.94875075,0.316022099,0.521864142,0.996334759,0.945279525,0.886792453,0.882352941,0.652777778
0.414838655,0.457543017,0.563733372,0.608344198,0.946443508,0.947557053,0.314917127,0.518996044,0.995462082,0.945677902,0.886792453,0.882352941,0.652777778
0.414457525,0.462585034,0.55525508,0.610886571,0.947094368,0.948074322,0.31381105,0.521147297,0.996422026,0.946075965,0.886792453,0.882352941,0.638888889
0.415262133,0.459103641,0.554524192,0.599478488,0.946629654,0.948591431,0.314917127,0.518996044,0.996334759,0.946075965,0.886792453,0.882352941,0.638888889
0.415262133,0.457903161,0.563733372,0.595697523,0.946722634,0.948114112,0.31381105,0.520430451,0.995985688,0.946075965,0.886792453,0.882352941,0.638888889
0.41606674,0.454021609,0.565122058,0.598239896,0.946071774,0.94875075,0.316022099,0.518279915,0.99611659,0.945698654,0.886792453,0.882352941,0.638888889
0.416490218,0.459463786,0.562344686,0.603911343,0.946536488,0.948114112,0.309392265,0.524373101,0.996247491,0.946893473,0.886792453,0.882352941,0.638888889
0.41568561,0.461784714,0.564391171,0.616558018,0.945885628,0.948591431,0.308287293,0.530466286,0.997207435,0.946893473,0.886792453,0.882352941,0.652777778
0.421402558,0.463345338,0.558763339,0.600782269,0.945792648,0.947795792,0.30718232,0.532616106,0.996640195,0.946893473,0.886792453,0.882352941,0.652777778
0.41361057,0.461784714,0.559494226,0.600782269,0.945699853,0.947875213,0.309392265,0.531183132,0.996072956,0.946484719,0.886792453,0.882352941,0.652777778
0.416490218,0.459863946,0.556643766,0.60136897,0.945420913,0.947477473,0.309392265,0.533333668,0.996203857,0.946893473,0.886792453,0.882352941,0.652777778
0.416490218,0.453261305,0.55810554,0.595045632,0.945327933,0.947318154,0.309392265,0.534049796,0.996334759,0.945289901,0.886792453,0.882352941,0.652777778
0.419327518,0.458303321,0.556643766,0.608344198,0.944770053,0.946761095,0.312707182,0.532616106,0.9970329,0.945698654,0.886792453,0.882352941,0.652777778
0.41606674,0.464105642,0.563733372,0.60136897,0.944770053,0.946681675,0.313259669,0.531183132,0.996596562,0.945289901,0.886792453,0.882352941,0.652777778
0.41568561,0.459863946,0.565852945,0.603911343,0.944770053,0.946602095,0.31381105,0.52855446,0.995811153,0.944881147,0.886792453,0.882352941,0.652777778
0.417294825,0.465306122,0.562344686,0.607105606,0.944863033,0.947397734,0.315468508,0.525926505,0.996422026,0.944472393,0.886792453,0.882352941,0.652777778
0.417718303,0.455222089,0.564391171,0.600130378,0.944956013,0.947159154,0.317127072,0.523297833,0.996291125,0.944881147,0.886792453,0.882352941,0.652777778
0.41568561,0.46062425,0.55810554,0.607105606,0.944677073,0.946761095,0.313259669,0.525448369,0.996160223,0.946484719,0.886792453,0.882352941,0.652777778
0.421402558,0.457903161,0.562344686,0.604563233,0.944956013,0.946761095,0.309392265,0.529749441,0.996029322,0.946484719,0.886792453,0.882352941,0.652777778
0.410307445,0.457903161,0.55810554,0.603324641,0.944956013,0.946681675,0.310497238,0.53046557,0.99589842,0.946075965,0.886792453,0.882352941,0.652777778
0.413187092,0.459863946,0.562344686,0.596349413,0.945234767,0.946602095,0.309392265,0.531183132,0.997120168,0.946893473,0.886792453,0.882352941,0.652777778
0.416892521,0.46102441,0.55810554,0.603911343,0.945002503,0.947238734,0.311601105,0.529749441,0.996596562,0.946484719,0.886792453,0.882352941,0.652777778
0.42059795,0.461784714,0.55810554,0.599478488,0.944770053,0.946522515,0.309392265,0.532616106,0.996305611,0.946893473,0.886792453,0.882352941,0.652777778
0.414457525,0.46022409,0.565122058,0.593220339,0.944956013,0.946283616,0.310497238,0.532616106,0.996014836,0.946484719,0.886792453,0.882352941,0.652777778
0.420174473,0.459103641,0.561613799,0.595697523,0.944723563,0.946363355,0.309392265,0.534767359,0.995723885,0.946075965,0.886792453,0.882352941,0.652777778
0.414457525,0.466066427,0.55525508,0.602672751,0.944490927,0.946045036,0.311601105,0.532616106,0.99589842,0.946484719,0.886792453,0.882352941,0.652777778
0.41606674,0.457543017,0.557374653,0.600130378,0.944770053,0.946522515,0.31381105,0.530466286,0.996334759,0.946075965,0.886792453,0.882352941,0.652777778
0.416913695,0.466066427,0.554524192,0.610234681,0.944677073,0.946602095,0.31381105,0.52831575,0.996160223,0.944472393,0.886792453,0.882352941,0.652777778
