signal-013,signal-014,signal-015,signal-017,signal-061,signal-062,signal-082,signal-114,signal-115,signal-122
0.259090909,0.44504644,0.257623143,0.400469071,0.807768733,0.694784684,0.482740214,0.861538462,0.867924528,0.896551724
0.248663102,0.437564499,0.265050821,0.397830548,0.809760767,0.695894562,0.517259786,0.861538462,0.867924528,0.896551724
0.26684492,0.42750258,0.261336982,0.391967165,0.81042511,0.69700444,0.551779359,0.861538462,0.867924528,0.896551724
0.282352941,0.430082559,0.257623143,0.394898857,0.811090449,0.698113208,0.551779359,0.861538462,0.867924528,0.896551724
0.27459893,0.43498452,0.250195465,0.397830548,0.811753797,0.699223085,0.551779359,0.861538462,0.867924528,0.896551724
0.271925134,0.43498452,0.257623143,0.394898857,0.811255788,0.696449501,0.551779359,0.861538462,0.867924528,0.896551724
0.261497326,0.424922601,0.265050821,0.391967165,0.81075778,0.693673696,0.551779359,0.861538462,0.867924528,0.896551724
0.269518717,0.437564499,0.257623143,0.403400762,0.81075778,0.69700444,0.517259786,0.861538462,0.867924528,0.896551724
0.269518717,0.42002064,0.265050821,0.386396951,0.81075778,0.692564928,0.517259786,0.861538462,0.867924528,0.896551724
0.282352941,0.43498452,0.261141517,0.394898857,0.808765746,0.68590455,0.517259786,0.861538462,0.867924528,0.896551724
0.261497326,0.432662539,0.265050821,0.391967165,0.809760767,0.687015538,0.517259786,0.861538462,0.867924528,0.896551724
0.259090909,0.422600619,0.253713839,0.391967165,0.807768733,0.684795782,0.517259786,0.861538462,0.867924528,0.896551724
0.261497326,0.42002064,0.265050821,0.394898857,0.81075778,0.69145394,0.517259786,0.861538462,0.867924528,0.896551724
0.271925134,0.415118627,0.265050821,0.391967165,0.808765746,0.689235294,0.517259786,0.861538462,0.867924528,0.896551724
0.269518717,0.415118627,0.265050821,0.406332454,0.808765746,0.694784684,0.517259786,0.861538462,0.867924528,0.896551724
0.261497326,0.402476729,0.265050821,0.391967165,0.808765746,0.69145394,0.517259786,0.861538462,0.867924528,0.896551724
0.269518717,0.46749226,0.265050821,0.400615655,0.808765746,0.69145394,0.517259786,0.861538462,0.867924528,0.896551724
0.269518717,0.46749226,0.253713839,0.409264145,0.808765746,0.688125416,0.517259786,0.861538462,0.867924528,0.896551724
0.269518717,0.462590248,0.261141517,0.400615655,0.808765746,0.690345172,0.517259786,0.861538462,0.867924528,0.896551724
0.277005348,0.417698658,0.261141517,0.391967165,0.806773712,0.68590455,0.517259786,0.861538462,0.867924528,0.896551724
0.277005348,0.440144479,0.265050821,0.397830548,0.81075778,0.698114317,0.517259786,0.861538462,0.867924528,0.896551724
0.271925134,0.42750258,0.261141517,0.400469071,0.803785661,0.675916759,0.517259786,0.861538462,0.867924528,0.896551724
0.290106952,0.44504644,0.272869429,0.397830548,0.802788648,0.674805771,0.517259786,0.861538462,0.867924528,0.896551724
0.290106952,0.44504644,0.261141517,0.389328643,0.801793627,0.673697003,0.517259786,0.861538462,0.867924528,0.896551724
0.279679144,0.42750258,0.261141517,0.397830548,0.802291636,0.682576027,0.517259786,0.861538462,0.886792453,0.896551724
0.277005348,0.422600619,0.268960125,0.386396951,0.802788648,0.68091121,0.517259786,0.861538462,0.886792453,0.896551724
0.279679144,0.465170279,0.261141517,0.403400762,0.800796614,0.679246393,0.517259786,0.861538462,0.886792453,0.896551724
0.282352941,0.430082559,0.276387803,0.394898857,0.802788648,0.679246393,0.551779359,0.861538462,0.886792453,0.896551724
0.277005348,0.424922601,0.257623143,0.391967165,0.804781678,0.685350721,0.517259786,0.861538462,0.886792453,0.896551724
0.269518717,0.432662539,0.261141517,0.394898857,0.806773712,0.69145394,0.517259786,0.861538462,0.886792453,0.896551724
0.285026738,0.42750258,0.250195465,0.391967165,0.809760767,0.694784684,0.482740214,0.861538462,0.886792453,0.896551724
0.287433155,0.437564499,0.268960125,0.397830548,0.809760767,0.692009989,0.482740214,0.861538462,0.886792453,0.896551724
0.277005348,0.432662539,0.272869429,0.397830548,0.809760767,0.689235294,0.482740214,0.861538462,0.886792453,0.896551724
0.285026738,0.440144479,0.265050821,0.397830548,0.812749813,0.695894562,0.517259786,0.861538462,0.886792453,0.896551724
0.290106952,0.42750258,0.261271775,0.397830548,0.813246826,0.699223085,0.517259786,0.861538462,0.886792453,0.896551724
0.269518717,0.440144479,0.257492807,0.389328643,0.81374583,0.69663374,0.482740214,0.861538462,0.886792453,0.896551724
