signal-080,signal-091
0.499213688,0.593400001
0.498899163,0.591450001
0.497703969,0.591700001
0.497703969,0.589750001
0.497389445,0.590700001
0.494936151,0.589250001
0.49707492,0.590725001
0.498018494,0.592200001
0.500723407,0.593400001
0.500723407,0.593900001
0.490281185,0.584350001
0.486632698,0.582400001
0.482292256,0.579250001
0.485060074,0.580700001
0.483235831,0.580000001
0.485060074,0.580700001
0.481097062,0.576800001
0.486003648,0.582400001
0.480782538,0.576800001
0.481726112,0.578250001
0.475246902,0.572900001
0.497703969,0.594400001
0.501037932,0.596600001
0.501981506,0.595850001
0.493049003,0.586800001
0.496131346,0.590000001
0.497703969,0.592450001
0.498018494,0.592900001
0.496131346,0.590950001
0.49707492,0.592175001
0.499842738,0.593400001
0.502296031,0.596600001
0.500723407,0.595850001
0.496760395,0.590000001
0.488771466,0.583150001
0.481097062,0.577550001
0.47738567,0.575350001
0.486003648,0.582400001
0.495816821,0.590950001
0.498899163,0.591950001
0.495250676,0.588750001
0.499528213,0.594850001
0.499528213,0.595100001
0.497389445,0.590000001
0.493049003,0.588500001
0.496760395,0.592900001
0.49059571,0.586100001
0.494936151,0.588050001
0.493049003,0.587550001
0.491539284,0.585350001
0.493049003,0.589000001
0.493678052,0.587050001
0.500471787,0.595100001
0.501666981,0.596100001
0.498018494,0.592450001
0.496131346,0.590250001
0.495816821,0.589750001
0.498899163,0.589750001
0.498899163,0.592900001
0.498584639,0.592200001
0.49707492,0.591200001
0.501352456,0.595600001
0.501666981,0.594150001
0.495502296,0.588300001
0.485374599,0.580700001
0.480153488,0.576300001
0.478329245,0.575600001
0.486003648,0.580700001
0.492168334,0.587300001
0.496760395,0.590950001
0.498270114,0.590950001
0.49644587,0.589500001
0.499213688,0.592450001
0.498584639,0.592650001
0.496760395,0.589750001
0.500471787,0.593650001
0.495816821,0.588500001
0.498899163,0.593400001
0.494936151,0.587800001
0.493049003,0.587050001
0.495533749,0.590700001
0.498018494,0.592200001
0.498270114,0.591950001
0.495502296,0.589000001
0.49059571,0.585100001
0.483235831,0.580200001
0.479838963,0.576800001
0.481097062,0.578250001
0.486632698,0.584350001
0.492168334,0.587050001
0.495502296,0.590500001
0.499213688,0.593650001
0.497389445,0.590250001
0.494307102,0.589250001
0.494621627,0.589750001
0.495816821,0.590700001
0.496760395,0.590000001
0.498899163,0.590700001
0.493363528,0.587050001
0.489715041,0.583400001
0.488456942,0.586300001
0.494307102,0.590250001
0.493363528,0.586550001
0.491853809,0.584850001
0.488456942,0.584600001
0.486947223,0.582900001
0.490910235,0.586300001
0.49644587,0.588500001
0.497703969,0.592650001
0.500157262,0.593900001
0.499213688,0.593400001
0.504120274,0.596600001
0.498584639,0.594400001
0.495250676,0.589500001
0.493049003,0.588050001
0.494307102,0.587300001
0.490910235,0.585850001
0.492482858,0.586550001
0.495816821,0.588050001
0.492482858,0.585350001
0.486632698,0.582650001
0.496131346,0.588500001
0.498584639,0.590950001
0.498899163,0.591450001
0.500723407,0.593150001
0.499842738,0.592900001
0.491539284,0.583150001
0.481097062,0.576050001
0.480468013,0.578750001
0.480782538,0.578000001
0.49059571,0.586300001
0.497703969,0.591700001
0.491224759,0.586300001
0.493678052,0.589000001
0.498270114,0.592200001
0.497389445,0.590700001
0.495816821,0.589750001
0.499528213,0.592650001
0.499528213,0.592900001
0.496760395,0.590700001
0.498270114,0.593900001
0.500723407,0.595100001
0.497389445,0.590250001
0.49707492,0.590700001
0.496760395,0.591950001
0.501666981,0.595350001
0.499528213,0.593650001
0.500723407,0.593650001
0.498899163,0.591700001
0.493992577,0.589000001
0.497703969,0.592450001
0.495816821,0.589500001
0.494307102,0.587550001
0.494621627,0.588300001
0.489400516,0.583650001
0.487513367,0.583900001
0.487513367,0.582425001
0.48386488,0.580950001
0.49059571,0.582900001
0.492797383,0.586550001
0.500157262,0.594650001
0.494936151,0.588750001
0.49644587,0.592200001
0.495250676,0.587050001
0.489085991,0.582650001
0.485689124,0.582650001
0.486632698,0.582650001
0.487827892,0.583400001
0.48449393,0.578750001
0.480782538,0.577550001
0.493049003,0.587550001
0.494590174,0.589750001
0.496131346,0.590250001
0.500723407,0.595100001
0.498270114,0.590950001
0.500471787,0.593650001
0.499213688,0.593400001
0.498584639,0.590700001
0.501981506,0.596350001
0.501666981,0.595350001
0.50292508,0.597550001
0.503239605,0.596850001
0.498270114,0.592200001
0.501666981,0.595100001
0.502296031,0.595600001
0.502296031,0.596350001
0.503491225,0.598300001
0.496760395,0.590250001
0.482292256,0.578000001
0.488142417,0.582900001
0.496131346,0.590000001
0.498899163,0.593150001
0.498018494,0.591200001
0.497389445,0.591450001
0.49707492,0.591450001
0.495250676,0.588750001
0.494936151,0.587800001
0.488488394,0.584350001
0.482040637,0.578750001
0.485060074,0.580700001
