signal-020,signal-021,signal-036,signal-037,signal-058,signal-073,signal-095,signal-110,signal-116
0.821615202,0.807545309,0.297834576,0.297010044,0.85394203,0.996422339,0.638888889,0.534090909,0.534653465
0.835510689,0.82073727,0.29570465,0.294323756,0.854771905,0.995986038,0.638888889,0.545454545,0.534653465
0.83087886,0.813586487,0.298189563,0.297243635,0.853527093,0.994677138,0.638888889,0.545454545,0.534653465
0.849287411,0.827888053,0.299609514,0.29759402,0.85228228,0.995636998,0.638888889,0.545454545,0.534653465
0.84239905,0.829120947,0.297124601,0.294790937,0.853112155,0.996160558,0.638888889,0.545454545,0.534653465
0.84584323,0.825545555,0.295586321,0.292688624,0.85228228,0.995811518,0.638888889,0.545454545,0.534653465
0.827434679,0.812353594,0.296532955,0.292922214,0.851451576,0.995200698,0.638888889,0.545454545,0.534653465
0.837767221,0.821970164,0.291918116,0.28918477,0.853112155,0.996073298,0.638888889,0.545454545,0.534653465
0.835510689,0.818394773,0.298071234,0.296309274,0.85228228,0.996160558,0.638888889,0.545454545,0.534653465
0.825178147,0.810011096,0.300319489,0.300747489,0.848962781,0.995898778,0.638888889,0.545454545,0.534653465
0.843467933,0.825545555,0.298307893,0.297477225,0.848962781,0.995942408,0.638888889,0.545454545,0.534653465
0.832066508,0.813586487,0.29582298,0.297477225,0.846473156,0.995986038,0.638888889,0.545454545,0.534653465
0.83432304,0.821970164,0.296887942,0.29350619,0.851451576,0.995549738,0.638888889,0.545454545,0.534653465
0.835510689,0.818394773,0.297597917,0.294907732,0.851037468,0.996596859,0.638888889,0.545454545,0.534653465
0.833135392,0.815928985,0.293811383,0.290936697,0.850622531,0.996509599,0.638888889,0.545454545,0.544554455
0.837767221,0.82073727,0.299254526,0.29782761,0.847303031,0.996422339,0.638888889,0.545454545,0.544554455
0.84239905,0.823079768,0.294403029,0.295024527,0.847717969,0.996073298,0.638888889,0.545454545,0.544554455
0.837767221,0.821970164,0.297124601,0.295725298,0.848132906,0.996160558,0.638888889,0.545454545,0.544554455
0.835510689,0.823079768,0.297479588,0.2932726,0.847302201,0.995724258,0.638888889,0.545454545,0.544554455
0.841211401,0.823079768,0.299136197,0.295374912,0.846473156,0.995636998,0.638888889,0.545454545,0.544554455
0.823990499,0.814819381,0.290971483,0.287432843,0.846473156,0.997207679,0.638888889,0.545454545,0.544554455
0.841211401,0.824312662,0.299136197,0.298645176,0.850622531,0.994938918,0.638888889,0.545454545,0.544554455
0.829691211,0.810011096,0.300792806,0.29712684,0.848962781,0.995724258,0.638888889,0.545454545,0.544554455
0.84239905,0.829120947,0.300556147,0.298177996,0.851451576,0.994938918,0.638888889,0.545454545,0.544554455
0.844655582,0.824312662,0.293574725,0.290002336,0.851451576,0.995636998,0.638888889,0.545454545,0.544554455
0.84584323,0.827888053,0.297006271,0.293973371,0.851451576,0.995811518,0.638888889,0.545454545,0.544554455
0.838954869,0.817161879,0.294994675,0.293973371,0.851451576,0.996771379,0.638888889,0.534090909,0.544554455
0.843467933,0.82073727,0.299491184,0.295725298,0.85394203,0.996204188,0.638888889,0.534090909,0.534653465
0.850356295,0.829120947,0.296651284,0.294674142,0.85394203,0.995636998,0.638888889,0.534090909,0.534653465
0.843467933,0.823079768,0.299254526,0.293622985,0.851867343,0.996073298,0.638888889,0.534090909,0.544554455
0.837767221,0.815928985,0.293338067,0.293389395,0.849791826,0.996509599,0.638888889,0.545454545,0.544554455
0.843467933,0.825545555,0.299727843,0.300630694,0.851451576,0.996247818,0.638888889,0.545454545,0.544554455
0.843467933,0.825545555,0.298544551,0.296192478,0.849377718,0.996684119,0.638888889,0.545454545,0.544554455
0.83432304,0.814819381,0.298071234,0.297010044,0.847303031,0.995986038,0.638888889,0.545454545,0.544554455
0.840023753,0.821970164,0.298544551,0.295258117,0.848962781,0.995898778,0.638888889,0.545454545,0.544554455
0.836579572,0.82073727,0.298544551,0.298645176,0.845642452,0.996858639,0.638888889,0.545454545,0.544554455
0.843467933,0.829120947,0.298307893,0.293389395,0.846473156,0.995724258,0.638888889,0.545454545,0.544554455
0.83432304,0.821970164,0.296769613,0.294907732,0.847303031,0.995986038,0.638888889,0.545454545,0.544554455
0.835510689,0.817161879,0.299254526,0.296893249,0.846887264,0.996247818,0.638888889,0.545454545,0.544554455
0.84584323,0.821970164,0.30008283,0.297944406,0.846473156,0.995724258,0.638888889,0.545454545,0.544554455
0.838954869,0.827888053,0.29582298,0.2932726,0.848547844,0.995942408,0.638888889,0.545454545,0.544554455
0.85736342,0.83627173,0.300556147,0.298061201,0.850622531,0.996160558,0.638888889,0.545454545,0.544554455
0.840023753,0.827888053,0.299136197,0.29782761,0.848962781,0.995724258,0.638888889,0.545454545,0.544554455
0.840023753,0.821970164,0.295467992,0.293155805,0.847303031,0.996116928,0.638888889,0.545454545,0.544554455
0.835510689,0.824312662,0.295113004,0.292104648,0.848133736,0.996509599,0.638888889,0.545454545,0.544554455
0.843467933,0.830230551,0.299491184,0.298528381,0.848962781,0.996247818,0.638888889,0.545454545,0.544554455
0.849287411,0.831586734,0.294758017,0.292455034,0.848962781,0.995287958,0.638888889,0.545454545,0.544554455
0.851662708,0.833929232,0.297479588,0.296192478,0.848962781,0.995636998,0.638888889,0.545454545,0.544554455
0.852731591,0.837504623,0.298899539,0.294090166,0.850622531,0.995724258,0.638888889,0.545454545,0.544554455
0.83432304,0.818394773,0.29582298,0.293856576,0.846473156,0.996073298,0.638888889,0.545454545,0.544554455
0.85736342,0.83627173,0.297952905,0.294265359,0.848962781,0.995200698,0.638888889,0.545454545,0.544554455
0.847030879,0.831586734,0.296769613,0.294674142,0.847302201,0.996160558,0.638888889,0.545454545,0.544554455
0.825178147,0.814819381,0.30008283,0.294674142,0.845642452,0.995898778,0.638888889,0.545454545,0.544554455
0.861876485,0.833929232,0.299491184,0.29782761,0.848962781,0.995898778,0.638888889,0.545454545,0.544554455
0.85391924,0.831586734,0.299136197,0.296659659,0.847717969,0.995287958,0.638888889,0.545454545,0.544554455
0.84239905,0.826778449,0.299727843,0.298061201,0.846473156,0.996160558,0.638888889,0.545454545,0.544554455
0.856175772,0.831586734,0.296651284,0.294206961,0.846887264,0.995549738,0.638888889,0.545454545,0.544554455
0.847030879,0.830230551,0.297834576,0.295258117,0.847303031,0.996073298,0.638888889,0.545454545,0.544554455
0.849287411,0.830230551,0.297124601,0.295725298,0.846680625,0.995898778,0.652777778,0.545454545,0.544554455
0.844655582,0.830230551,0.293574725,0.291520673,0.846058219,0.995724258,0.652777778,0.545454545,0.544554455
0.840023753,0.827888053,0.298071234,0.296075683,0.845435813,0.995898778,0.652777778,0.545454545,0.544554455
0.829691211,0.82073727,0.299136197,0.296893249,0.844813407,0.996073298,0.652777778,0.545454545,0.544554455
0.840023753,0.823079768,0.30020116,0.298294791,0.844813407,0.996771379,0.652777778,0.545454545,0.544554455
0.833135392,0.815928985,0.300674476,0.298411586,0.844813407,0.995986038,0.652777778,0.545454545,0.544554455
0.84239905,0.824312662,0.296059638,0.295258117,0.844813407,0.995986038,0.652777778,0.545454545,0.544554455
0.841211401,0.827888053,0.297952905,0.295608503,0.844813407,0.996771379,0.652777778,0.545454545,0.544554455
0.83087886,0.815928985,0.295941309,0.293622985,0.843982702,0.996684119,0.652777778,0.545454545,0.544554455
0.836579572,0.82073727,0.29724293,0.295491708,0.843153657,0.996335079,0.652777778,0.545454545,0.544554455
