signal-018,signal-019,signal-030,signal-034,signal-035,signal-059,signal-060,signal-066,signal-072,signal-079,signal-111,signal-112,signal-113
0.471285153,0.475555832,0.787282563,0.421800981,0.406043806,0.508669364,0.629085784,0.800945766,0.996856993,0.15983682,0.949367089,0.871428571,0.93902439
0.470100393,0.473189263,0.781077641,0.415679338,0.398808223,0.506358382,0.629085784,0.799024679,0.996682382,0.11885323,0.949367089,0.871428571,0.93902439
0.474278232,0.473189263,0.795502758,0.417654061,0.400510713,0.508669364,0.629085784,0.803310083,0.996289506,0.15983682,0.949367089,0.871428571,0.93902439
0.464613082,0.469514853,0.790358507,0.416864172,0.400936336,0.506358382,0.627451797,0.802866854,0.99589663,0.15983682,0.949367089,0.871428571,0.93902439
0.471846355,0.468892072,0.789828171,0.411137473,0.391147017,0.507514451,0.627615196,0.800945766,0.996071241,0.11885323,0.949367089,0.871428571,0.93902439
0.467044959,0.469514853,0.788820535,0.406793081,0.38987015,0.508669364,0.627778595,0.798532092,0.996245853,0.11885323,0.949367089,0.871428571,0.93902439
0.471846355,0.471943701,0.790358507,0.409360222,0.387742037,0.50982659,0.627941993,0.801388996,0.996245853,0.15983682,0.949367089,0.871428571,0.93902439
0.470661595,0.470137635,0.784153585,0.401066382,0.381996133,0.507514451,0.628104575,0.796660263,0.996595076,0.15983682,0.949367089,0.871428571,0.93902439
0.473717029,0.473749766,0.791366143,0.414297031,0.396467299,0.505202312,0.628268791,0.803310083,0.996638729,0.11885323,0.949367089,0.871428571,0.93902439
0.476148906,0.47798468,0.790358507,0.422195926,0.41008722,0.508669364,0.629085784,0.802374267,0.996682382,0.15983682,0.949367089,0.871428571,0.93902439
0.471846355,0.470760416,0.788290199,0.421011092,0.40710782,0.507899422,0.627451797,0.800945766,0.996333159,0.11885323,0.949367089,0.871428571,0.93902439
0.473093471,0.474372548,0.787282563,0.417654061,0.407320673,0.507128324,0.627451797,0.80045318,0.996464117,0.15983682,0.949367089,0.871428571,0.93902439
0.47490179,0.475555832,0.785214255,0.417061644,0.397744124,0.506358382,0.627451797,0.799517265,0.996595076,0.11885323,0.949367089,0.871428571,0.93902439
0.473093471,0.474372548,0.793434451,0.417259117,0.397318544,0.504046243,0.627451797,0.803310083,0.996420464,0.15983682,0.949367089,0.871428571,0.93902439
0.472469913,0.475555832,0.789297836,0.406990553,0.386465127,0.504142197,0.626634804,0.800009852,0.996769687,0.15983682,0.949367089,0.871428571,0.93902439
0.473717029,0.472566482,0.791366143,0.413112197,0.397956978,0.504239306,0.627451797,0.802374267,0.99650777,0.11885323,0.949367089,0.871428571,0.93902439
0.468853277,0.470137635,0.790862325,0.404818357,0.391359829,0.50433526,0.627178922,0.799517265,0.996420464,0.15983682,0.949367089,0.871428571,0.93902439
0.471285153,0.474372548,0.790358507,0.411927363,0.395190431,0.50443237,0.626906863,0.801388996,0.996333159,0.15983682,0.949367089,0.871428571,0.93902439
0.471285153,0.471943701,0.787282563,0.413309669,0.39668011,0.504528324,0.626634804,0.799517265,0.996420464,0.15983682,0.949367089,0.871428571,0.93902439
0.471846355,0.473749766,0.789828171,0.420616147,0.402213203,0.504624277,0.627451797,0.801388996,0.99650777,0.11885323,0.949367089,0.871428571,0.93902439
0.470661595,0.473189263,0.789297836,0.407582971,0.389231716,0.504720231,0.626634804,0.801388996,0.996769687,0.15983682,0.949367089,0.871428571,0.93902439
0.470100393,0.471943701,0.790358507,0.423578233,0.40881031,0.504816185,0.627451797,0.802866854,0.996245853,0.15983682,0.949367089,0.871428571,0.93902439
0.477333666,0.47798468,0.792904115,0.426342846,0.404128504,0.504913295,0.628268791,0.804738683,0.996311332,0.11885323,0.949367089,0.871428571,0.93902439
0.471285153,0.474372548,0.790358507,0.420813619,0.403490071,0.505009249,0.629085784,0.800945766,0.996376812,0.11885323,0.949367089,0.871428571,0.93902439
0.473717029,0.473158124,0.790835808,0.406398136,0.385613925,0.505106358,0.62854085,0.802374267,0.996442291,0.15983682,0.949367089,0.871428571,0.93902439
0.471285153,0.471943701,0.782668647,0.411137473,0.39029573,0.505202312,0.627996732,0.798532092,0.99650777,0.11885323,0.949367089,0.871428571,0.93902439
0.475525348,0.474372548,0.791896479,0.408570332,0.39157264,0.506358382,0.627451797,0.802374267,0.996420464,0.15983682,0.949367089,0.871428571,0.93902439
0.470100393,0.474372548,0.791366143,0.419036368,0.399233845,0.502889017,0.627723856,0.803310083,0.995983936,0.15983682,0.949367089,0.871428571,0.93902439
0.469476835,0.473189263,0.790358507,0.419036368,0.401574727,0.505202312,0.627996732,0.800945766,0.99650777,0.15983682,0.949367089,0.871428571,0.93902439
0.473093471,0.471320919,0.784153585,0.42338076,0.40008509,0.504624277,0.628268791,0.798088764,0.99650777,0.15983682,0.949367089,0.871428571,0.93902439
0.476710108,0.477361898,0.786221892,0.410742528,0.397744124,0.504046243,0.62854085,0.798088764,0.996856993,0.15983682,0.949367089,0.871428571,0.93902439
0.472469913,0.473189263,0.788290199,0.417456589,0.405405372,0.505587283,0.628812908,0.797596178,0.996791514,0.15983682,0.949367089,0.871428571,0.93902439
0.476710108,0.476178614,0.793911752,0.410742528,0.394551998,0.507128324,0.629085784,0.803802768,0.996726035,0.11885323,0.949367089,0.871428571,0.93902439
0.479141984,0.476801395,0.79704073,0.410545056,0.396254488,0.508669364,0.629357843,0.806167184,0.996660555,0.11885323,0.949367089,0.871428571,0.93902439
0.477333666,0.475555832,0.795980059,0.413507142,0.395190431,0.507514451,0.629630719,0.806167184,0.996595076,0.11885323,0.949367089,0.871428571,0.93902439
0.471285153,0.474933051,0.786752227,0.417259117,0.404766938,0.506358382,0.629901961,0.801881681,0.996944299,0.15983682,0.949367089,0.871428571,0.93902439
0.469476835,0.470760416,0.79704073,0.418838896,0.397105733,0.506358382,0.629085784,0.804295355,0.996333159,0.15983682,0.949367089,0.871428571,0.93902439
0.472469913,0.473749766,0.791366143,0.416864172,0.401468364,0.504046243,0.628268791,0.805231269,0.99650777,0.11885323,0.949367089,0.871428571,0.93902439
0.476148906,0.476178614,0.795502758,0.421208564,0.405830995,0.506358382,0.628677288,0.804738683,0.996682382,0.11885323,0.949367089,0.871428571,0.93902439
0.471285153,0.471943701,0.789828171,0.420616147,0.403490071,0.508669364,0.629085784,0.803310083,0.996333159,0.15983682,0.949367089,0.871428571,0.93902439
0.471846355,0.468892072,0.789828171,0.410742528,0.393062319,0.506358382,0.628268791,0.799024679,0.996595076,0.15983682,0.949367089,0.871428571,0.93902439
0.471285153,0.473189263,0.795502758,0.4166667,0.397531313,0.504046243,0.62854085,0.801388996,0.99650777,0.11885323,0.949367089,0.871428571,0.93902439
0.470100393,0.471320919,0.789297836,0.411532418,0.396892922,0.504046243,0.628812908,0.800009852,0.996420464,0.11885323,0.949367089,0.857142857,0.93902439
0.473717029,0.472566482,0.786221892,0.405608247,0.389231716,0.504046243,0.629085784,0.797596178,0.996464117,0.15983682,0.949367089,0.857142857,0.93902439
0.467668517,0.472566482,0.787759864,0.407582971,0.389231716,0.505780347,0.628268791,0.798532092,0.99650777,0.15983682,0.949367089,0.871428571,0.93902439
0.469476835,0.470137635,0.783676283,0.415679338,0.401149147,0.507514451,0.628472222,0.793310674,0.996769687,0.11885323,0.949367089,0.857142857,0.93902439
0.470661595,0.471943701,0.786752227,0.408767805,0.39157264,0.505202312,0.628677288,0.797596178,0.996682382,0.15983682,0.949367089,0.857142857,0.93902439
0.473717029,0.472566482,0.790358507,0.414691976,0.397956978,0.505202312,0.628881536,0.799024679,0.996595076,0.15983682,0.949367089,0.857142857,0.93902439
0.476148906,0.472566482,0.790358507,0.4166667,0.39785053,0.505202312,0.629085784,0.798532092,0.99650777,0.11885323,0.949367089,0.857142857,0.93902439
0.473093471,0.472566482,0.786221892,0.413902086,0.397744124,0.508669364,0.62854085,0.799024679,0.996595076,0.11885323,0.949367089,0.871428571,0.93902439
0.471285153,0.468331569,0.782668647,0.420221202,0.399978685,0.502889017,0.627996732,0.794246589,0.996071241,0.15983682,0.949367089,0.857142857,0.93902439
0.470100393,0.469514853,0.784153585,0.418049006,0.402213203,0.503275145,0.627451797,0.797103591,0.99650777,0.15983682,0.949367089,0.857142857,0.93902439
0.47490179,0.477361898,0.78468392,0.42338076,0.399659425,0.503660116,0.628268791,0.797596178,0.996944299,0.11885323,0.949367089,0.857142857,0.93902439
0.471846355,0.471943701,0.785744591,0.417654061,0.400723524,0.504046243,0.629085784,0.800009852,0.996595076,0.15983682,0.949367089,0.857142857,0.93902439
0.467668517,0.470137635,0.791366143,0.413309669,0.396892922,0.502889017,0.627451797,0.800009852,0.996420464,0.11885323,0.949367089,0.857142857,0.93902439
0.470661595,0.470137635,0.795980059,0.414099559,0.398595412,0.504046243,0.627042484,0.804738683,0.996245853,0.15983682,0.949367089,0.857142857,0.93902439
0.471285153,0.470137635,0.780600339,0.408965277,0.392211031,0.501734104,0.626634804,0.795231663,0.996333159,0.11885323,0.949367089,0.857142857,0.93902439
0.469476835,0.469514853,0.784153585,0.415679338,0.397744124,0.503468208,0.627042484,0.79567509,0.996420464,0.11885323,0.949367089,0.857142857,0.93902439
0.470100393,0.471943701,0.78468392,0.416469227,0.40008509,0.505202312,0.627451797,0.798088764,0.99650777,0.11885323,0.949367089,0.857142857,0.93902439
0.46523664,0.467148284,0.783145948,0.411927363,0.396467299,0.502890173,0.626634804,0.794246589,0.996333159,0.15983682,0.949367089,0.857142857,0.93902439
0.472469913,0.475555832,0.780600339,0.420813619,0.403277217,0.500578035,0.627042484,0.794246589,0.997031605,0.11885323,0.949367089,0.857142857,0.93902439
0.470100393,0.473189263,0.779539669,0.420813619,0.404554127,0.502312139,0.62745098,0.791389587,0.997293522,0.11885323,0.949367089,0.871428571,0.93902439
0.474278232,0.471320919,0.789297836,0.416271755,0.398169789,0.504046243,0.627860294,0.799517265,0.996769687,0.11885323,0.949367089,0.857142857,0.93902439
0.477333666,0.476178614,0.794972423,0.415086921,0.397956978,0.504046243,0.628268791,0.805231269,0.996595076,0.11885323,0.949367089,0.857142857,0.93902439
0.470100393,0.473749766,0.792426814,0.406990553,0.392211031,0.504046243,0.62745098,0.803310083,0.996420464,0.11885323,0.949367089,0.871428571,0.93902439
0.471846355,0.471320919,0.794495121,0.410940001,0.39497762,0.500578035,0.626634804,0.800009852,0.996420464,0.11885323,0.949367089,0.871428571,0.93902439
0.476148906,0.475555832,0.792426814,0.407977915,0.391359829,0.504046243,0.626906863,0.801388996,0.996638729,0.11885323,0.949367089,0.871428571,0.93902439
0.474278232,0.473189263,0.791366143,0.41172989,0.396148082,0.504046243,0.627178922,0.801881681,0.996856993,0.15983682,0.949367089,0.857142857,0.93902439
0.474278232,0.473189263,0.792930632,0.418246479,0.400936336,0.507514451,0.627451797,0.803802768,0.996638729,0.15983682,0.949367089,0.871428571,0.93902439
0.473717029,0.474933051,0.794495121,0.416864172,0.402000392,0.505780347,0.627042484,0.805723856,0.996420464,0.11885323,0.949367089,0.857142857,0.93902439
0.47490179,0.473189263,0.795502758,0.42673779,0.409235975,0.504046243,0.626634804,0.804738683,0.996595076,0.15983682,0.949367089,0.857142857,0.93902439
0.47490179,0.472566482,0.791366143,0.421208564,0.40668224,0.50433526,0.627042484,0.80045318,0.996769687,0.11885323,0.949367089,0.857142857,0.93902439
0.472469913,0.473749766,0.793434451,0.415284393,0.3983826,0.504624277,0.627451797,0.801881681,0.996682382,0.11885323,0.949367089,0.857142857,0.93902439
